District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden,None_3,None_4,Production of Outside Garden,None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
49,Chapai Nawabganj,281,281.30,280.00,20098,"15099.3
6","12016.4
6",4191,2894.64,2531.55,24289,"17994.0
0","14548.0
1"
50,Pabna,25,28.63,29.00,161,40.18,60.24,0,0,1.55,161,161,61.79
51,Rajshahi,63,60.00,59.00,3129,3134.00,3134.00,315,484.00,480.00,3444,3618.00,3614.00
52,Sirajganj,14,13.00,13.00,0,0,0.00,25,26.00,25.00,25,26.00,25.00
Rajshahi Division,None,435,410.71,409.00,23465,18336.42,15272.16,4575,3428.58,3060.64,28040,21765.00,18332.80
53,Dinajpur,40,39.00,35.68,77,76.80,76.41,70,69.20,38.59,147,146.00,115.00
54,Gaibandha,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
55,Kurigram,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
56,Lalmonirhat,2,4.09,4.33,8,7.49,7.88,9,8.74,9.51,17,16.23,17.39
57,Nilphamari,10,9.79,10.47,154,193.97,198.27,32,43.16,45.19,186,237.13,243.46
58,Panchagar,16,15.16,16.19,0,1.03,1.27,87,67.63,60.32,87,68.66,61.59
59,Rangpur,13,13.61,13.80,30,27.52,27.80,0,0.01,0.00,30,27.53,27.80
60,Thakurgaon,87,7.60,8.00,204,30.74,19.20,49,12.13,6.05,253,42.87,25.25
Rangpur Divison,None,168,89.25,88.47,473,337.55,330.83,247,200.87,159.66,720,538.42,490.49
61,Habiganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
62,Moulvibazar,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
63,Sunamganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
64,Sylhet,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Sylhet Division,None,0,0.00,0.00,0,0,0.00,0,0,0.00,0,0,0.00
BANGLADESH,None,733,613.02,619.73,24284,19227.20,16165.06,5151,3678.27,3612.84,29435,22905.47,19777.90
