District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden( M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
47,Naogaon,5.17,18.70,25.56,0.00,0.00,0.00,20.65,22.04,13.10,20.65,22.04,13.10
48,Natore,8.33,20.58,22.01,0.00,0.00,0.00,28.45,56.39,53.87,28.45,56.39,53.87
49,Chapai Nawabganj,23.45,24.58,20.37,0.00,0.00,0.00,52.67,53.22,55.98,52.67,53.22,55.98
50,Pabna,4.21,7.70,8.61,0.00,0.00,0.00,9.47,16.54,26.85,9.47,16.54,26.85
51,Rajshahi,76.91,77.97,78.86,0.00,0.00,0.00,101.16,107.21,110.47,101.16,107.21,110.47
52,Sirajganj,5.42,6.05,6.48,0.00,0.00,0.00,15.99,16.64,19.76,15.99,16.64,19.76
Rajshahi Division,None,141.30,175.62,203.98,0.00,0.00,0.00,297.80,344.64,333.34,297.80,344.64,333.34
53,Dinajpur,28.00,26.00,17.36,0.00,0.00,0.00,65.00,69.00,70.91,65.00,69.00,70.91
54,Gaibandha,12.98,13.23,13.29,0.00,0.00,0.00,22.90,24.06,24.17,22.90,24.06,24.17
55,Kurigram,7.41,7.50,8.00,0.00,0.00,0.00,29.77,29.45,31.00,29.77,29.45,31.00
56,Lalmonirhat,13.71,9.21,12.23,0.00,0.00,0.00,24.77,16.67,39.68,24.77,16.67,39.68
57,Nilphamari,7.86,9.64,10.49,0.00,0.00,0.00,28.00,26.80,31.62,28.00,26.80,31.62
58,Panchagar,21.08,21.05,21.68,0.00,0.00,0.00,16.32,18.25,19.02,16.32,18.25,19.02
59,Rangpur,7.60,9.95,10.19,0.00,0.00,0.00,25.15,29.18,31.08,25.15,29.18,31.08
60,Thakurgaon,12.83,12.90,13.24,0.00,0.00,0.00,38.51,40.35,42.52,38.51,40.35,42.52
Rangpur Divison,None,111.47,109.48,106.48,0.00,0.00,0.00,250.42,253.76,289.99,250.42,253.76,289.99
61,Habiganj,2.08,2.31,2.45,0.00,0.00,0.00,1.16,1.48,1.83,1.16,1.48,1.83
62,Moulvibazar,4.28,1.41,1.55,0.00,0.00,0.00,3.56,3.07,3.20,3.56,3.07,3.20
63,Sunamganj,5.00,7.00,7.00,0.00,0.00,0.00,3.00,4.00,4.00,3.00,4.00,4.00
64,Sylhet,0.20,0.22,0.36,0.00,0.00,0.00,0.09,0.51,0.25,0.09,0.51,0.25
Sylhet Division,None,11.56,10.94,11.36,0.00,0.00,0.00,7.81,9.06,9.28,7.81,9.06,9.28
BANGLADESH,None,790.40,815.94,795.89,18.03,18.86,18.90,1424.61,1529.93,1579.23,1442.64,1548.79,1598.14
