Sl no,Name of Comodity,None,Year-2024,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
134,",,",duck,67.31,69.64,65.88,63.81,64.67,49.13,67.57,69.08,71.19,53.49,-,,68.00
135,Fish (Ka):Fresh,Rui local big(5+kg),-,-,-,-,-,-,-,-,-,-,-,-,-
136,",,","Rui local
(2.5+kg)medium",407.71,399.79,403.32,404.40,402.03,69.64,400.17,395.35,397.51,52.44,-,-,400.76
137,",,","Rui local small
(1.5+kg)",316.40,321.88,315.70,319.58,322.06,399.79,325.22,323.25,322.35,71.19,-,-,321.07
138,",,","Imported
medium(2.5+kg)",350.18,351.01,350.83,349.25,342.68,321.88,350.06,349.60,349.59,397.51,-,-,349.38
139,",,",Imported small,279.43,279.51,280.69,280.22,274.39,351.01,271.15,281.54,279.89,322.35,-,-,278.62
140,",,",Katal large,441.53,463.13,454.65,457.15,468.43,279.51,453.26,465.00,463.35,349.59,-,-,459.30
141,",,",medium,380.66,379.14,381.96,382.14,378.39,463.13,379.65,373.44,374.45,279.89,-,-,378.34
142,",,",small,298.14,296.95,299.230,301.32,300.06,379.14,298.57,301.07,,463.35,-,-,299.05
143,Fish (Ka):Live,Mrigel large,341.25,341.62,342.11,341.67,342.00,296.95,342.82,347.83,299.14,374.45,-,-,343.28
144,",,",small,227.19,223.29,227.94,226.85,226.26,223.29,223.96,226.07,345.93,299.14,-,-,225.58
145,",,",Airr large,955.00,1300.00,1300.00,1300.00,1300.00,1300.00,1300.00,1300.00,225.50,345.93,-,-,1265.50
146,",,",small,616.71,614.42,635.67,640.00,603.57,614.42,616.18,626.15,1300.00,225.50,-,-,619.63
147,",,",Boal large,1014.00,1075.00,1032.95,1027.27,1018.18,1075.00,1063.64,1088.89,614.62,1300.00,-,-,1056.99
148,",,",Small,530.32,562.50,552.21,553.36,554.60,562.50,531.02,556.60,1087.50,1087.62,-,-,549.14
149,",,",Chital large,793.93,1035.00,939.29,933.93,991.67,1035,1045.83,1055.00,544.14,544.14,-,-,549.14
150,",,",Chital small,457.92,537.50,517.50,516.88,523.75,537.50,537.50,554.17,1079.17,1079.17,-,-,998.80
151,",,",Pangush larges,267.42,249.78,244.44,246.25,349.07,249.79,249.74,257.72,250.43,526.43,-,-,251.51
152,",,",small,170.98,176.69,174.85,176.22,177.61,176.69,176.74,175.06,173.64,250.43,-,-,175.21
153,",,",Hilsha (small/ larges),1024.11,1178.41,1064.08,1116.32,1162.33,1178.41,1201.89,1159.42,1181.37,173.64,-,-,1144.77
154,",,",Prawn bagda,785.94,835.79,802.83,809.38,821.75,835.79,843.68,852.00,829.07,1181.37,-,-,824.53
155,",,",golda,869.72,913.17,886.77,879.29,976.16,913.17,914.75,931.54,898.94,829.07,-,-,908.25
156,",,",small,658.88,703.25,679.82,685.19,694.95,703.25,687.35,664.60,648.22,898.94,-,-,677.37
157,",,",Koii,247.16,255.23,250.32,250.00,252.28,255.23,250.30,239.59,235.38,648.22,-,-,247.09
158,",,",Magur,436.12,462.44,444.11,450.78,443.48,462.44,446.69,449.82,443.71,235.38,-,-,448.33
159,",,",Shing,424.58,426.23,432.22,431.63,434.60,426.26,441.43,419.64,411.95,443.71,-,-,426.05
160,",,",Silvar curp,205.42,201.44,201.78,202.01,201.89,201.44,203.62,204.23,202.30,411.95,-,-,202.64
161,",,",Grass curp,237.73,245.48,240.48,239.90,242.80,245.48,247.26,246.68,245.91,202.30,-,-,243.76
162,",,",Telapia / Nailotika,191.25,195.75,195.84,196.83,197.74,195.75,198.10,198.49,197.97,245.91,-,-,196.57
163,",,",Rupchada,787.78,846.94,794.44,795.42,864.44,846.94,844.57,775.36,730.94,197.97,-,-,801.78
164,Fish(Kha)Dry,Rupchada,1552.50,1600.00,1562.50,1562.50,1562.50,1600.00,1525.00,1612.50,1622.50,730.94,-,-,1582.25
165,",,",Loitta,778.13,831.18,805.13,801.25,821.62,831.18,877.46,882.26,867.63,1622.50,-,-,836.35
166,",,",Puti,613.53,611.48,622.50,612.42,611.47,611.48,668.89,644.17,646.48,867.63,-,-,628.89
167,",,",Prawn,837.17,905.73,857.07,862.50,877.28,905.73,909.46,975.26,988.41,645.48,-,-,910.70
168,“,Kachki,634.11,644.64,619.69,622.50,626.19,644.64,659.60,677.65,693.33,988.41,-,-,651.57
169,,Salted Hilsha,672.50,741.83,707.69,709.09,713.64,741.83,763.05,849.58,818.20,693.33,-,-,753.59
170,Betel nut,-,405.71,401.92,707.95,396.34,394.44,397.86,387.20,393.0,396.65,818.20,-,-,396.69
171,Betel leaves,Large (Bangla),157.65,163.68,165.86,165.86,164.38,166.17,164.77,163.00,154.60,154.60,-,-,161.83
172,",,",Medium,127.55,114.43,121.98,121.98,124.32,119.27,117.23,126.00,107.58,107.58,-,-,118.64
173,",,",Small,68.67,66.65,74.10,74.10,74.40,68.95,72.33,74.00,69.41,69.41,-,-,70.73
174,",,",Sanchi,20.29,82.14,92.00,92.00,92.92,91.25,251.80,98.00,111.57,111.57,-,-,112.30
175,Fruits:,Mango Guti,-,-,-,-,-,68.49,60.41,-,-,-,-,-,63.92
176,,Gopalbhog,-,-,-,-,-,92.20,80.66,93.00,-,-,-,-,86.53
177,,Himsagor,-,-,-,-,-,94.81,101.38,96.00,-,-,-,-,96.01
178,,Langra,-,-,-,-,-,-,100.99,86.00,-,-,-,-,92.80
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
179,,Fazli,-,-,-,-,-,-,91.23,110.00,-,-,-,-,100.61
180,,Aswini,-,-,-,-,-,-,72.63,102.00,-,-,-,-,87.32
181,,Amrupali,-,-,-,-,-,-,100.93,124.00,-,-,-,-,106.93
182,,Harivangga,-,-,-,-,-,,65.60,113.00,-,-,-,-,98.02
183,Jackfruits,Large(4+kg),-,-,-,-,-,173.94,167.88,195.00,-,-,-,-,180.27
184,,Small,-,-,-,-,-,103.55,79.41,90.00,-,-,-,-,91.61
185,Fruits,Green Coconut,87.34,89.07,91.56,91.56,98.01,101.11-,101.02,102.00,105.50,105.50,-,-,98.25
186,,Batabi lebu,50.50,53.80,53.38,53.38,70.00,69.03,42.50,40.00,44.19,44.19,-,-,49.82
187,,Elachi lebu,18.30,21.99,27.08,27.08,27.17,24.36,15.38,18.00,18.23,18.23,-,-,20.79
188,,Kagozi lebu,19.92,23.34,28.34,28.34,27.98,23.26,16.08,17.00,19.72,19.72,-,-,21.40
189,",,",Guava,59.46,63.44,65.31,65.31,63.35,63.59,60.90,61.00,64.82,64.82,-,-,63.14
190,",,",Amra,34.46,46.13,-,-,-,-,51.25,42.00,47.47,47.47,-,-,44.80
191,",,",Orange,218.13,222.97,236.40,-,249.91,277.71,297.69,309.00,310.94,310.94,-,-,272.07
192,",,",Apple,253.37,149.18,264.50,270.23,268.44,270.77,278.77,293.00,298.92,298.92,-,-,274.61
193,,Malta,270.59,164.36,297.82,288.63,275.39,264.92,262.99,283.00,275.99,275.99,-,-,275.97
194,,Grape (anggur),371.64,327.18,316.79,331.09,350.35,352.93,389.39,450.00,457.68,457.68,-,-,380.47
195,",,",Boroi,101.60,364.36,76.62,85.823,-,-,-,-,-,,-,-,87.39
196,",,",Water melon (Tormuj),-,327.18,64.77,52.39,55.58,54.67,63.21,-,-,,-,-,60.11
197,Fruit:,Melon (Bangi),-,85.52,75.00,66.70,63.88,76.79,64.00,-,-,,-,-,69.27
198,",,",Ripe Papaya,82.12,70.00,85.39,86.29,89.43,89.81,95.86,92.00,90.12,90.12,-,-,88.50
199,",,",Lychee,-,-,-,-,312.85,410.55,409.22,-,-,-,-,-,377.54
200,",,",Banana: Chapa,18.37,83.86,21.42,21.95,21.97,21.38,20.60,21.00,20.98,20.98,-,-,20.74
201,",,",Sabri,30.69,-,38.12,35.60,34.99,40.58,35.57,37.00,34.79,34.79,-,-,35.43
