Sl no,Name of Comodity,None,Year-2023,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
29,",,",white,5092,5066,4844,4650,4609,4391,4227,4106,4197,3948,4017,4054,4449
30,Imported,red,4941,4948,4921,4820,4761,4458,4252,4150,4214,3941,3983,4004,4589
31,",,",white,5497,4999,5108,5032,4941,4509,4340,4151,4232,4036,4099,4149,4798
32,Ata,loose,5532,5471,5475,5354,5187,4768,4537,4333,4350,4220,4130,4215,5670
33,",,",Packet,6337,6245,6240,6188,6084,5889,5654,5365,5148,4917,4926,5046,5749
34,flour,loose,6224,6180,6134,6071,5924,5742,5581,5486,5414,5333,5393,5504,6737
35,",,",packet,7203,7203,7129,7088,7014,6929,6758,6491,6348,6167,6171,6339,3140
36,Maize,-,3794,3759,3682,3312,2723,2613,2670,2819,2986,3043,2955,3331,11457
37,Kalai,mash,9810,10047,10292,10608,10966,11154,11575,12136,12470,12666,13073,12684,8838
38,",,",mashur,9115,9114,8899,8459,8489,8388,8396,8377,8660,9301,9443,9411,8959
39,",,",mug,9527,9209,9102,8692,8508,8258,8404,8437,8115,8861,9799,10598,7832
40,",,",Chola,7691,8082,8520,7966,7739,7603,7519,7425,7516,7658,7949,8321,6747
41,",,",Motor local,6332,7320,7202,7112,6980,6270,6142,6175,6631,6871,6987,6942,6747
42,",,",Motor foreign (Dabri),6060,6089,6084,6033,5958,5853,5733,5583,5650,5685,5680,5632,5837
43,",,",kheshari,5807,5796,5650,5601,5793,5719,5699,5726,5935,6225,6362,6695,5917
44,Dal,Mash gota,11653,11676,11762,12076,12016,12307,13139,13506,14018,14218,14110,14622,66244
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
45,",,",Broken,12405,12591,12757,12817,13119,13731,14628,14975,15081,15113,15734,15661,12246
46,",,",Mashur local gota,12320,12279,12287,12312,12274,12191,12062,12001,12122,12218,12394,12491,10773
47,",,",Mashur broken,13498,9679,12006,11967,9649,10439,9711,9655,9785,9852,10955,12077,10242
48,",,",Mashur foreign,10350,10123,10119,9928,9910,10697,10065,9831,10179,10345,10643,10712,11602
49,",,",Mug local,11588,11612,11604,11460,11342,11743,11241,11170,11342,11507,12051,12563,8169
50,",,",Chola gota,7850,8205,8402,8388,8248,8155,7976,7882,7900,8050,8328,8642,8583
51,",,",Chola broken,8069,8263,8383,8329,8210,8150,7991,7938,8051,8246,8413,8770,6180
52,",,",Motor local,9201,9200,8825,8535,8447,8455,8186,7986,8022,8373,8870,8890,7381
53,",,",Motor foreign,6228,6610,6345,7712,6205,6158,6018,5773,5780,5774,5786,5781,8401
54,",,",kheshari,7141,7312,7360,7237,7132,7049,7032,7032,7391,7584,7957,8340,11929
55,Oil seed,Mustard,9184,8723,8027,8311,8336,8297,8199,8158,8496,8247,8428,8412,10713
56,",,",Tishi,11150,11272,11250,11209,11716,11331,10994,11418,11300,12225,14614,14666,13350
57,",,",Till,10010,9806,10607,9893,1141,10651,9830,10031,9522,10803,13296,12698,20975
58,",,",Nut,12723,12968,13528,14061,13497,13360,13628,13009,13290,13358,13341,13433,16146
59,Oil,Mustard loose,22010,21900,21724,21831,21502,21186,21020,20667,20289,20078,19820,19705,12409
60,",,",Soyabeen,16735,16475,16705,16458,17005,16642,16280,15929,15572,15269,15299,15381,15463
61,",,",Pulm,11969,12033,12370,12439,13047,12783,12622,12492,12375,12189,12239,12350,66244
62,“,Ghee (dalda),15198,15613,15511,15397,15612,15472,15595,15508,15334,15414,15308,15590,7381
63,",,",Butter oil,49127,33399,68250,68250,68250,68250,73875,49417,49417,76875,77725,112000,66244
64,",,",Coconut local loose,33464,33587,33741,32709,33687,33672,33833,33249,33221,33454,33365,33837,33485
65,khail,Mustard,4215,4478,4377,4418,4623,4518,4458,4495,4596,4647,4643,4671,4526
66,",,",Till,4025,4220,4228,4225,7180,4219,4566,4925,4940,4775,4867,4908,4772
67,",,",Others,2839,9456,4658,4783,7666,4783,5875,4707,4870,4725,4945,5050,5365
68,Spice,Onion local,3175,2842,2739,6420,3265,6669,4708,6665,6858,7997,10644,9952,6064
69,",,",Onion imported,8217,3392,2905,5297,3329,3797,3592,4866,5585,6776,9277,11135,5261
70,",,",Garlic local,14169,9908,8596,12267,9045,11987,14485,19095,19076,18495,18524,20791,14208
71,",,",Garlic imported,36079,15067,12969,13339,12194,13499,17018,19612,18704,17099,16714,18947,15778
72,",,",Chilli dried,7404,35377,37123,37592,38024,37281,38646,39335,38921,38928,38954,38974,37936
73,",,",Green chilli,8769,8999,7660,9466,5698,14053,22685,15071,10665,15123,9136,6241,11017
74,",,",Ginger local,10078,9149,9988,19603,12620,26640,26009,20732,21096,19517,19108,18649,17657
75,",,",Ginger imported,13018,9925,10754,21586,13924,25847,21212,16329,18526,19131,19017,18557,17074
76,",,",Turmeric round,14215,12140,13539,13645,13519,13807,14641,16487,17683,18149,18769,19220,15385
77,",,",Turmeric long,11111,14054,14796,15157,14787,15195,15647,16623,18202,18837,19400,19879,16399
78,",,",Coriander old,10649,11404,11580,14014,12074,15861,16417,16788,17200,17809,17892,18718,15073
79,",,",Coriander new,7763,14132,10454,13848,11361,15089,15483,-,-,-,--,-,13002
80,Jute,White,6112,9075,9450,8550,9450,6500,7875,7129,6018,5215,4122,5254,7200
81,",,",Tosha,5738,6128,6066,6387,6109,5961,6089,5748,5706,5175,5173,5109,5814
82,‘’,bi-bottom,5429,5425,5488,5700,5581,5550,5467,5250,5106,4769,500,5113,5349
83,“”,C-bottom,6900,6900,6900,6900,9900,6900,6763,6288,6100,6100,6100,6100,6100
84,“”,SMR,-,-,-,-,-,-,-,3638,-,-,-,-,3694
85,“”,Average chat,6135,6231,5997,9092,6190,6134,6152,5808,5174,5174,5221,5424,5825
86,“”,Mesta average chat,5542,5288,5142,5000,5945,5750,5888,6140,4821,4821,4796,4619,5747
87,Cotton,Shimul,40200,39800,39667,39600,39519,39641,39961,39773,40154,40154,41884,45035,40554
