District_Division,2022-23_Area_Acres,2022-23_Hectors,2022-23_Yield_Acre_Maund,2022-23_Yield_Hector_MT,2022-23_Production_MT,2023-24_Area_Acres,2023-24_Hectors,2023-24_Yield_Acre_Maund,2023-24_Yield_Hector_MT,2023-24_Production_MT
Meherpur,63448,25687,33.19,3.06,78605,63846,25838,34.77,3.207,82868
Narail,101308,41013,29.5,2.721,106228,95971,38839,31.1,2.869,111174
Satkhira,211700,85709,33.69,3.106,266225,201652,81607,34.44,3.177,259235
Khulna Division,1749372,708135,32.27,2.976,2145292,1768984,715935,33.51,3.09,2224904
Jamalpur,273420,110652,21.79,2.01,241126,195539,79129,24.75,2.282,349219
Mymensingh,644049,260643,27.47,2.534,662344,621208,251399,27.39,2.526,689778
Netrokona,323714,130993,29.24,2.696,353089,283495,114739,31.85,2.938,334659
Sherpur,225853,91399,26.23,2.419,221790,241422,97696,27.29,2.517,191953
Mymensingh Division,1467036,593687,26.1,2.408,1498350,1341664,543163,27.55,2.541,1565609
Bogura,446251,180595,33.25,3.066,555785,425154,172057,34.1,3.145,540676
Joypurhat,165021,66800,31.3,2.887,194686,155525,62940,33.1,3.054,192283
Naogaon,486779,197076,30.28,2.792,544099,479372,193997,32.88,3.033,580298
Natore,215065,87057,32.31,2.98,240485,205263,83063,33.3,3.071,242829
Chapai Nawabganj,131146,53100,35.05,3.232,171432,132362,53570,36.1,3.33,178157
Pabna,217338,87950,28.87,2.663,194812,207742,84094,30.81,2.841,164693
Rajshahi,192334,77836,35.57,3.28,255478,196763,79629,36.05,3.325,264739
Sirajganj,207597,84045,31.89,2.941,248188,204760,82884,33.5,3.09,256134
Rajshahi Division,2061531,834453,32.3,2.979,2316885,2006941,812234,33.58,3.097,2413109
Dinajpur,641304,259532,30.34,2.798,731951,621467,251505,32.35,2.982,751754
Gaibandha,314879,127430,27.56,2.541,324723,314242,127156,30.75,2.836,355832
Kurigram,296358,119934,31.74,2.927,349357,296768,120101,32.5,2.998,360512
Lalmonirhat,211057,85424,33.8,3.116,266260,213445,86379,33.8,3.118,276232
Nilphamari,279346,113050,30.29,2.794,315608,222294,89961,33.45,3.085,277504
Panchagar,246800,99879,34.35,3.169,316596,211612,85639,35.22,3.248,278316
Rangpur,407781,165026,30.25,2.79,460590,348038,140850,33.3,3.071,433806
Thakurgaon,338380,136996,31.64,2.918,399653,324498,131323,32.98,3.042,399625
Rangpur Division,2735905,1107771,31.01,2.86,3164741,2492224,1009414,33.05,3.048,3067780
Habiganj,218068,88251,28.17,2.598,229316,223781,90565,31.8,2.934,266044
Moulvibazar,250602,101428,32.73,3.019,308210,251706,101864,34.05,3.14,324892
Sunamganj,200865,81289,29.58,2.728,221025,196282,79436,30.88,2.848,225647
Sylhet,350212,141729,28.39,2.618,372865,354085,143282,29.36,2.708,385081
Sylhet Division,1019747,413697,29.4,2.711,1122015,1025854,415147,30.95,2.855,1201665
Bangladesh,14143286,5724822,29.22,2.695,15426395,14210095,5750755,31.4,2.896,16656263
