District/ Division,None,2022-23,None_1,None_2,None_3,None_4,2023-24,None_5,None_6,None_7,None_8
39,Narail,67195,27193,50.31,4.640,126188,69170,27993,50.88,4.693,131369
40,Satkhira,53454,21633,48.09,4.436,95954,55696,22540,48.01,4.428,99812
Khulnam Division,None,476214,192743,52.24,4.818,928619,486455,196866,52.50,4.843,953387
41,Jamalpur,124530,50397,51.45,4.746,239159,126513,51199,51.49,4.749,243156
None,None,Area,None,Yield Rate,None,"Productio
n",Area,None,Yield Rate,None,"Producti
on"
None,None,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton)
42,Mymensingh,149368,60448,50.33,4.642,280616,172777,69922,50.77,4.683,327431
43,Netrokona,105882,42850,49.62,4.577,196113,122525,49585,50.25,4.635,229820
44,Sherpur,132131,53473,55.23,5.094,272400,144640,58535,54.93,5.067,296569
"Mymensingh
Division",None,511911,207168,51.72,4.770,988287,566455,229241,51.88,4.785,1096976
45,Bogura,41081,16625,49.67,4.581,76166,41213,16679,48.19,4.445,74134
46,Joypurhat,19550,7912,38.74,3.573,28271,17020,6888,39.75,3.666,25254
47,Naogaon,36028,14580,50.83,4.688,68358,37860,15322,52.50,4.842,74194
48,Natore,10008,4050,58.28,5.376,21772,10871,4399,58.25,5.373,23637
49,"Chapai
Nawabganj",5036,2039,54.49,5.024,10243,9255,3745,54.99,5.072,18997
50,Pabna,5847,2366,49.52,4.568,10808,10561,4274,50.96,4.700,20089
51,Rajshahi,11725,4745,51.71,4.770,22632,13918,5633,52.15,4.810,27093
52,Sirajganj,39317,15911,48.76,4.497,71560,40602,16431,48.43,4.467,73399
Rajshahi Division,None,168592,68229,49.23,4.541,309809,181300,73371,49.77,4.590,336797
53,Dinajpur,60976,24677,49.40,4.556,112438,57264,23174,50.25,4.635,107410
54,Gaibandha,103009,41687,52.53,4.845,201981,107998,43706,53.51,4.936,215714
55,Kurigram,129026,52237,48.78,4.497,234934,129723,52498,47.63,4.393,230635
56,Lalmonirhat,68423,27690,48.55,4.478,123999,68515,27728,47.81,4.410,122273
57,Nilphamari,109587,44349,51.89,4.786,212261,113149,45791,51.63,4.762,218062
58,Panchagar,21277,8611,50.52,4.660,40124,21389,8656,51.74,4.772,41309
59,Rangpur,121695,49249,56.78,5.237,257926,124692,50462,56.51,5.212,263021
60,Thakurgaon,29258,11841,54.12,4.992,59106,29558,11962,53.42,4.927,58939
Rangpur Divison,None,643251,260341,51.76,4.774,1242769,652288,263977,51.64,4.763,1257364
61,Habiganj,122458,49558,44.51,4.105,203457,121893,49329,48.25,4.450,219535
62,Moulvibazar,12928,5232,53.61,4.945,25869,14996,6069,54.25,5.004,30367
63,Sunamganj,149301,60421,50.91,4.696,283722,135753,54938,51.71,4.770,262030
64,Sylhet,23350,9450,37.15,3.427,32380,29352,11879,41.00,3.782,44921
Sylhet Division,None,308037,124661,47.44,4.375,545428,301994,122215,49.40,4.556,556853
,Bangladesh,2985024,1208142,51.48,4.748,5736086,3132563,1267732,51.89,4.786,6067233
